Question,Answer
what is (are) age-related macular degeneration ?,"age-related macular degeneration, also known as amd, is an eye disease that affects the macula, a part of the retina. the retina sends light from the eye to the brain, and the macula allows you to see fine detail. amd blurs central vision amd blurs the sharp central vision you need for straight-ahead activities such as reading, sewing, and driving. amd causes no pain. how amd progresses in some cases, amd advances so slowly that people notice little change in their vision. in others, the disease progresses faster and may lead to a loss of vision in both eyes. amd is a common eye condition among people age 50 and older. it is a leading cause of vision loss in older adults. two forms of amd there are two forms of age-related macular degeneration -- dry and wet."
what are the treatments for age-related macular degeneration ?,"wet amd can be treated with laser surgery, photodynamic therapy, and drugs that are injected into the eye. none of these treatments is a cure for wet amd. the disease and loss of vision may progress despite treatment."
what is (are) age-related macular degeneration ?,"the daily amounts used by the study researchers were 500 milligrams of vitamin c, 400 international units of vitamin e, 15 milligrams of beta-carotene, 80 milligrams of zinc as zinc oxide, and 2 milligrams of copper as cupric oxide. copper was added to the areds formulation containing zinc to prevent copper deficiency anemia, a condition associated with high levels of zinc intake."
who is at risk for age-related macular degeneration? ?,"risk increases with age amd is most common in older people, but it can occur during middle age. the risk increases with age. other risk factors other risk factors include - smoking - obesity - race. whites are much more likely to lose vision from amd than african-americans. - family history. people with a family history of amd are at higher risk of getting the disease. - gender. women appear to be at greater risk than men. smoking obesity race. whites are much more likely to lose vision from amd than african-americans. family history. people with a family history of amd are at higher risk of getting the disease. gender. women appear to be at greater risk than men."
what is (are) age-related macular degeneration ?,drusen are yellow deposits under the retina. they often are found in people over age 50. your eye care professional can detect drusen during a comprehensive dilated eye exam.
what is (are) age-related macular degeneration ?,"wet amd occurs when abnormal blood vessels behind the retina start to grow under the macula. with wet amd, loss of central vision can occur quickly. wet amd is considered to be advanced amd and is more severe than the dry form."
what are the symptoms of age-related macular degeneration ?,"the most common symptom of dry amd is slightly blurred vision. you may have difficulty recognizing faces. you may need more light for reading and other tasks. dry amd generally affects both eyes, but vision can be lost in one eye while the other eye seems unaffected. one of the most common early signs of dry amd is drusen. drusen are yellow deposits under the retina. they often are found in people over age 50. your eye care professional can detect drusen during a comprehensive dilated eye exam."
what are the treatments for age-related macular degeneration ?,"if you have advanced amd once dry amd reaches the advanced stage, no form of treatment can prevent vision loss. however, treatment can delay and possibly prevent intermediate amd from progressing to the advanced stage. the national eye institute's age-related eye disease study found that taking certain vitamins and minerals may reduce the risk of developing advanced amd. wet amd can be treated with laser surgery, photodynamic therapy, and injections into the eye. none of these treatments is a cure for wet amd. the disease and loss of vision may progress despite treatment. laser surgery laser surgery uses a laser to destroy the fragile, leaky blood vessels. only a small percentage of people with wet amd can be treated with laser surgery. laser surgery is performed in a doctor's office or eye clinic. the risk of new blood vessels developing after laser treatment is high. repeated treatments may be necessary. in some cases, vision loss may progress despite repeated treatments. photodynamic therapy with photodynamic therapy, a drug called verteporfin is injected into your arm. it travels throughout the body, including the new blood vessels in your eye. the drug tends to stick to the surface of new blood vessels. next, the doctor shines a light into your eye for about 90 seconds. the light activates the drug. the activated drug destroys the new blood vessels and leads to a slower rate of vision decline. unlike laser surgery, verteporfin does not destroy surrounding healthy tissue. because the drug is activated by light, you must avoid exposing your skin or eyes to direct sunlight or bright indoor light for five days after treatment. photodynamic therapy is relatively painless. it takes about 20 minutes and can be performed in a doctor's office. photodynamic therapy slows the rate of vision loss. it does not stop vision loss or restore vision in eyes already damaged by advanced amd. treatment results often are temporary. you may need to be treated again. drug treatment for wet amd wet amd can now be treated with new drugs that are injected into the eye (anti-vegf therapy). abnormally high levels of a specific growth factor occur in eyes with wet amd and promote the growth of abnormal new blood vessels. this drug treatment blocks the effects of the growth factor. you will need multiple injections that may be given as often as monthly. the eye is numbed before each injection. after the injection, you will remain in the doctor's office for a while and your eye will be monitored. this drug treatment can help slow down vision loss from amd and in some cases improve sight. if you have low vision if you have lost some sight from amd, ask your eye care professional about low vision services and devices that may help you make the most of your remaining vision. many community organizations and agencies offer information about low vision counseling and training and other special services for people with visual impairments. research on amd the national eye institute is conducting and supporting a number of studies to learn more about amd. for example, scientists are - studying the possibility of transplanting healthy cells into a diseased retina - evaluating families with a history of amd to understand genetic and hereditary factors that may cause the disease - looking at certain anti-inflammatory treatments for the wet form of amd studying the possibility of transplanting healthy cells into a diseased retina evaluating families with a history of amd to understand genetic and hereditary factors that may cause the disease looking at certain anti-inflammatory treatments for the wet form of amd this research should provide better ways to detect, treat, and prevent vision loss in people with amd."
what research (or clinical trials) is being done for age-related macular degeneration ?,"the national eye institute scientists are - studying the possibility of transplanting healthy cells into a diseased retina - evaluating families with a history of amd to understand genetic and hereditary factors that may cause the disease - looking at certain anti-inflammatory treatments for the wet form of amd. studying the possibility of transplanting healthy cells into a diseased retina evaluating families with a history of amd to understand genetic and hereditary factors that may cause the disease looking at certain anti-inflammatory treatments for the wet form of amd. this research should provide better ways to detect, treat, and prevent vision loss in people with amd."
how to prevent age-related macular degeneration ?,"there is no reason for those diagnosed with early stage amd to take the areds formulation. the study did not find that the formulation helped those with early stage amd. if you have early stage amd, a comprehensive dilated eye exam every year can help determine if the disease is progressing. if early stage amd progresses to the intermediate stage, discuss taking the formulation with your doctor."
what are the treatments for age-related macular degeneration ?,"once dry amd reaches the advanced stage, no form of treatment can prevent vision loss. however, treatment can delay and possibly prevent intermediate amd from progressing to the advanced stage, in which vision loss occurs."
what are the symptoms of age-related macular degeneration ?,"amd is detected during a comprehensive eye exam that includes a visual acuity test, a dilated eye exam, and tonometry. tests for amd - the visual acuity test is an eye chart test that measures how well you see at various distances. - in the dilated eye exam, drops are placed in your eyes to widen, or dilate, the pupils. then, your eye care professional uses a special magnifying lens to examine your retina and optic nerve for signs of amd and other eye problems. after the exam, your close-up vision may remain blurred for several hours. - with tonometry, an instrument measures the pressure inside the eye. numbing drops may be applied to your eye for this test. the visual acuity test is an eye chart test that measures how well you see at various distances. in the dilated eye exam, drops are placed in your eyes to widen, or dilate, the pupils. then, your eye care professional uses a special magnifying lens to examine your retina and optic nerve for signs of amd and other eye problems. after the exam, your close-up vision may remain blurred for several hours. with tonometry, an instrument measures the pressure inside the eye. numbing drops may be applied to your eye for this test. your eye care professional also may do other tests to learn more about the structure and health of your eye. the amsler grid during an eye exam, you may be asked to look at an amsler grid, shown here. you will cover one eye and stare at a black dot in the center of the grid. while staring at the dot, you may notice that the straight lines in the pattern appear wavy. you may notice that some of the lines are missing. these may be signs of amd. because dry amd can turn into wet amd at any time, you should get an amsler grid from your eye care professional. you could then use the grid every day to evaluate your vision for signs of wet amd. the fluorescein angiogram test if your eye care professional believes you need treatment for wet amd, he or she may suggest a fluorescein angiogram. in this test, a special dye is injected into your arm. pictures are taken as the dye passes through the blood vessels in your eye. the test allows your eye care professional to identify any leaking blood vessels and recommend treatment."
what causes age-related macular degeneration ?,"drusen alone do not usually cause vision loss. in fact, scientists are unclear about the connection between drusen and amd. they do know that an increase in the size or number of drusen raises a person's risk of developing either advanced dry amd or wet amd. these changes can cause serious vision loss."
what research (or clinical trials) is being done for alzheimer's disease ?,"translational research grows out of basic research. it creates new medicines, devices, or behavioral interventions aimed at preventing, diagnosing, or treating a disease. an important goal of alzheimers translational research is to increase the number and variety of potential new medicines and other interventions that are approved for testing in humans. scientists also examine medicines approved to treat other diseases to see they might be effective in people with alzheimers. the most promising interventions are tested in test-tube and animal studies to make sure they are safe and effective. currently, a number of different substances are under development that may one day be used to treat the symptoms of alzheimers disease or mild cognitive impairment. see the latest alzheimers disease progress report to read about results of nia-supported alzheimers research."
what is (are) alzheimer's disease ?,"memory problems are typically one of the first signs of alzheimers disease, though different people may have different initial symptoms. a decline in other aspects of thinking, such as finding the right words, vision/spatial issues, and impaired reasoning or judgment, may also signal the very early stages of alzheimers disease."
how to prevent alzheimer's disease ?,"research suggests that exercise may play a role in reducing risk for alzheimers disease. animal studies show that exercise increases both the number of small blood vessels that supply blood to the brain and the number of connections between nerve cells in older rats and mice. in addition, researchers have found that exercise raises the level of a nerve growth factor (a protein key to brain health) in an area of the brain that is important to memory and learning. learn more about the benefits of exercise for older adults. for more on specific exercises geared to the needs of older adults, visit go4life, the exercise and physical activity campaign from the national institute on aging."
what causes alzheimer's disease ?,"scientists do not yet fully understand what causes alzheimer's disease in most people. in early-onset alzheimers, which occurs in people between the ages of 30 and 60, a genetic mutation is usually the cause. late-onset alzheimers, which usually develops after age 60, arises from a complex series of brain changes that occur over decades. the causes probably include a mix of genetic, environmental, and lifestyle factors. these factors affect each person differently. learn more about the genetics of alzheimers disease. increasing age is the most important known risk factor for alzheimer's disease. lifestyle factors, such as diet and physical exercise, and long-term health conditions, like high blood pressure and diabetes, might also play a role in the risk of developing alzheimers disease."
