query_id,query_text,gold_doc_ids,primary_policy_type,difficulty,scenario_group
Q001,"Hello, I wanted to check the company policy related to casual leave utilization. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P020|P184,leave,hard,short_query
Q002,"Hi, I wanted to check the company policy related to use of common areas and meeting rooms (general). I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Please let me know what the policy says.",P182|P188|P029,leave,very_hard,very_specific
Q003,"Hello, I wanted to check the company policy related to use of common areas and meeting rooms (general). I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Appreciate your guidance.",P186|P040|P183,leave,easy,short_query
Q004,"Hello, I wanted to check the company policy related to casual leave utilization. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P034,leave,medium,long_query
Q005,"Hi, I wanted to check the company policy related to sick leave conversion to loss of pay. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Please let me know what the policy says.",P021,leave,very_hard,very_specific
Q006,"Hi HR Team, I wanted to check the company policy related to casual leave entitlement. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Appreciate your guidance.",P005|P038,leave,hard,very_specific
Q007,"Hello, I wanted to check the company policy related to casual leave utilization. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Please let me know what the policy says.",P034|P056,leave,easy,long_query
Q008,"Dear HR, I wanted to check the company policy related to casual leave entitlement. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Please let me know what the policy says.",P019,leave,easy,long_query
Q009,"Hi, I wanted to check the company policy related to annual leave eligibility. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Please let me know what the policy says.",P057,leave,very_hard,ambiguous
Q010,"Dear HR, I wanted to check the company policy related to loss of pay definition. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Please let me know what the policy says.",P065|P057|P011,leave,easy,very_specific
Q011,"Dear HR, I wanted to check the company policy related to annual leave encashment. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P004,leave,medium,short_query
Q012,"Hi, I wanted to check the company policy related to loss of pay definition. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P023|P068|P058,leave,hard,long_query
Q013,"Hi HR Team, I wanted to check the company policy related to leave application process. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Appreciate your guidance.",P012|P046|P054,leave,hard,ambiguous
Q014,"Hi, I wanted to check the company policy related to annual leave eligibility. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P043|P065|P037,leave,very_hard,short_query
Q015,"Hi HR Team, I wanted to check the company policy related to approval workflow for long leave. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P041|P043,leave,easy,very_specific
Q016,"Hi, I wanted to check the company policy related to blackout periods for leave. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P053,leave,medium,ambiguous
Q017,"Hi, I wanted to check the company policy related to sick leave conversion to loss of pay. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P007|P036,leave,medium,ambiguous
Q018,"Dear HR, I wanted to check the company policy related to annual leave accrual. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P016,leave,medium,long_query
Q019,"Hi HR Team, I wanted to check the company policy related to employee engagement activities (general). I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Appreciate your guidance.",P181|P012|P029,leave,easy,very_specific
Q020,"Hi, I wanted to check the company policy related to leave during probation. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P064|P067,leave,hard,very_specific
Q021,"Hello, I wanted to check the company policy related to annual leave encashment. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P032|P182|P019,leave,very_hard,long_query
Q022,"Dear HR, I wanted to check the company policy related to leave during probation. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Please let me know what the policy says.",P036|P045|P066,leave,hard,short_query
Q023,"Dear HR, I wanted to check the company policy related to use of common areas and meeting rooms (general). I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P186|P020|P058,leave,very_hard,ambiguous
Q024,"Hello, I wanted to check the company policy related to annual leave carry forward. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P059|P025,leave,medium,very_specific
Q025,"Hello, I wanted to check the company policy related to casual leave utilization. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P006|P062,leave,very_hard,very_specific
Q026,"Hi, I wanted to check the company policy related to casual leave entitlement. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P005|P066,leave,hard,short_query
Q027,"Hi HR Team, I wanted to check the company policy related to leave application process. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P068|P002|P019,leave,very_hard,long_query
Q028,"Hi, I wanted to check the company policy related to casual leave utilization. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Please let me know what the policy says.",P034|P052,leave,easy,ambiguous
Q029,"Dear HR, I wanted to check the company policy related to sick leave conversion to loss of pay. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Appreciate your guidance.",P063,leave,easy,long_query
Q030,"Hi HR Team, I wanted to check the company policy related to leave application process. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P012|P014|P058,leave,medium,ambiguous
Q031,"Dear HR, I wanted to check the company policy related to final settlement leave encashment. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P042,leave,hard,ambiguous
Q032,"Hello, I wanted to check the company policy related to casual leave entitlement. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Appreciate your guidance.",P019|P069,leave,very_hard,long_query
Q033,"Hi, I wanted to check the company policy related to blackout periods for leave. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Please let me know what the policy says.",P011|P032|P065,leave,medium,long_query
Q034,"Hello, I wanted to check the company policy related to annual leave carry forward. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P059|P002,leave,very_hard,ambiguous
Q035,"Dear HR, I wanted to check the company policy related to annual leave eligibility. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P057|P187,leave,hard,very_specific
Q036,"Hello, I wanted to check the company policy related to blackout periods for leave. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P039|P051,leave,very_hard,short_query
Q037,"Hi HR Team, I wanted to check the company policy related to internal communication guidelines (general). I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Looking forward to your clarification.",P184|P185,leave,hard,ambiguous
Q038,"Dear HR, I wanted to check the company policy related to leave during probation. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Appreciate your guidance.",P036,leave,easy,very_specific
Q039,"Hello, I wanted to check the company policy related to office dress code expectations (general). I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P188|P029,leave,medium,ambiguous
Q040,"Hello, I wanted to check the company policy related to casual leave utilization. I am planning some time away from work and I am not fully sure how my leave balance, accrual, or approval works in this situation. Could you please confirm what is allowed, and whether any special approvals are required? Thanks in advance.",P006|P058,leave,easy,ambiguous
