doc_id,section_title,section_text,policy_type,version,jurisdiction,severity_default,tags
P001,Annual Leave Eligibility,"This section describes the rules and practices related to annual leave eligibility for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Exceptions may be granted only with prior written approval from the appropriate authority. Employees are expected to review this clause before raising queries with HR. This section may be reviewed and updated as business or legal requirements evolve. Managers should apply this rule consistently across their teams to avoid perceived bias.",leave,v1,GLOBAL,medium,"annual, leave, eligibility"
P002,Annual Leave Accrual,"This section describes the rules and practices related to annual leave accrual for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Failure to follow this rule may result in the leave being treated as Loss of Pay. Exceptions may be granted only with prior written approval from the appropriate authority. This section may be reviewed and updated as business or legal requirements evolve.",leave,v1,GLOBAL,medium,"annual, leave, accrual"
P003,Annual Leave Carry Forward,"This section describes the rules and practices related to annual leave carry forward for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Exceptions may be granted only with prior written approval from the appropriate authority. Failure to follow this rule may result in the leave being treated as Loss of Pay. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Where this policy conflicts with statutory requirements, the statutory requirement will prevail.",leave,v1,GLOBAL,medium,"annual, leave, carry, forward"
P004,Annual Leave Encashment,"This section describes the rules and practices related to annual leave encashment for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Employees are expected to review this clause before raising queries with HR. Failure to follow this rule may result in the leave being treated as Loss of Pay. Employees are encouraged to plan planned leave well in advance to support project scheduling. Exceptions may be granted only with prior written approval from the appropriate authority.",leave,v1,GLOBAL,medium,"annual, leave, encashment"
P005,Casual Leave Entitlement,"This section describes the rules and practices related to casual leave entitlement for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Employees are expected to review this clause before raising queries with HR. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Exceptions may be granted only with prior written approval from the appropriate authority.",leave,v1,GLOBAL,medium,"casual, leave, entitlement"
P006,Casual Leave Utilization,"This section describes the rules and practices related to casual leave utilization for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Failure to follow this rule may result in the leave being treated as Loss of Pay. Leave balances and related transactions will be visible in the Leave Management System (LMS). Exceptions may be granted only with prior written approval from the appropriate authority. Where this policy conflicts with statutory requirements, the statutory requirement will prevail.",leave,v1,GLOBAL,medium,"casual, leave, utilization"
P007,Sick Leave Conversion to Loss of Pay,"This section describes the rules and practices related to sick leave conversion to loss of pay for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Employees are expected to review this clause before raising queries with HR. Leave balances and related transactions will be visible in the Leave Management System (LMS). Exceptions may be granted only with prior written approval from the appropriate authority.",leave,v1,GLOBAL,medium,"sick, leave, conversion, to, loss, of, pay"
P008,Leave During Probation,"This section describes the rules and practices related to leave during probation for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Leave balances and related transactions will be visible in the Leave Management System (LMS). This section may be reviewed and updated as business or legal requirements evolve. Managers should apply this rule consistently across their teams to avoid perceived bias. Exceptions may be granted only with prior written approval from the appropriate authority.",leave,v1,GLOBAL,medium,"leave, during, probation"
P009,Loss of Pay Definition,"This section describes the rules and practices related to loss of pay definition for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. This section may be reviewed and updated as business or legal requirements evolve. Employees are expected to review this clause before raising queries with HR. Leave balances and related transactions will be visible in the Leave Management System (LMS).",leave,v1,GLOBAL,medium,"loss, of, pay, definition"
P010,Loss of Pay Procedure,"This section describes the rules and practices related to loss of pay procedure for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Leave balances and related transactions will be visible in the Leave Management System (LMS). Exceptions may be granted only with prior written approval from the appropriate authority. Managers should apply this rule consistently across their teams to avoid perceived bias. Failure to follow this rule may result in the leave being treated as Loss of Pay.",leave,v1,GLOBAL,medium,"loss, of, pay, procedure"
P011,Blackout Periods for Leave,"This section describes the rules and practices related to blackout periods for leave for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Employees are expected to review this clause before raising queries with HR. This section may be reviewed and updated as business or legal requirements evolve. Where this policy conflicts with statutory requirements, the statutory requirement will prevail.",leave,v1,GLOBAL,medium,"blackout, periods, for, leave"
P012,Leave Application Process,"This section describes the rules and practices related to leave application process for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Failure to follow this rule may result in the leave being treated as Loss of Pay. Exceptions may be granted only with prior written approval from the appropriate authority. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Employees are expected to review this clause before raising queries with HR.",leave,v1,GLOBAL,medium,"leave, application, process"
P013,Approval Workflow for Long Leave,"This section describes the rules and practices related to approval workflow for long leave for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Failure to follow this rule may result in the leave being treated as Loss of Pay. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Leave balances and related transactions will be visible in the Leave Management System (LMS). This section may be reviewed and updated as business or legal requirements evolve.",leave,v1,GLOBAL,medium,"approval, workflow, for, long, leave"
P014,Final Settlement Leave Encashment,"This section describes the rules and practices related to final settlement leave encashment for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. This section may be reviewed and updated as business or legal requirements evolve. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Failure to follow this rule may result in the leave being treated as Loss of Pay. Employees are expected to review this clause before raising queries with HR.",leave,v1,GLOBAL,medium,"final, settlement, leave, encashment"
P015,Annual Leave Eligibility,"This section describes the rules and practices related to annual leave eligibility for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Employees are expected to review this clause before raising queries with HR. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Leave balances and related transactions will be visible in the Leave Management System (LMS). Managers should apply this rule consistently across their teams to avoid perceived bias.",leave,v1,GLOBAL,medium,"annual, leave, eligibility"
P016,Annual Leave Accrual,"This section describes the rules and practices related to annual leave accrual for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Exceptions may be granted only with prior written approval from the appropriate authority. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Leave balances and related transactions will be visible in the Leave Management System (LMS). Employees are expected to review this clause before raising queries with HR.",leave,v1,GLOBAL,medium,"annual, leave, accrual"
P017,Annual Leave Carry Forward,"This section describes the rules and practices related to annual leave carry forward for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Leave balances and related transactions will be visible in the Leave Management System (LMS). All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. This section may be reviewed and updated as business or legal requirements evolve.",leave,v1,GLOBAL,medium,"annual, leave, carry, forward"
P018,Annual Leave Encashment,"This section describes the rules and practices related to annual leave encashment for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. This section may be reviewed and updated as business or legal requirements evolve. Managers should apply this rule consistently across their teams to avoid perceived bias. Employees are encouraged to plan planned leave well in advance to support project scheduling. Leave balances and related transactions will be visible in the Leave Management System (LMS).",leave,v1,GLOBAL,medium,"annual, leave, encashment"
P019,Casual Leave Entitlement,"This section describes the rules and practices related to casual leave entitlement for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. This section may be reviewed and updated as business or legal requirements evolve. Leave balances and related transactions will be visible in the Leave Management System (LMS).",leave,v1,GLOBAL,medium,"casual, leave, entitlement"
P020,Casual Leave Utilization,"This section describes the rules and practices related to casual leave utilization for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Exceptions may be granted only with prior written approval from the appropriate authority. Managers should apply this rule consistently across their teams to avoid perceived bias. All references to 'days' in this clause refer to working days, unless explicitly stated otherwise. This section may be reviewed and updated as business or legal requirements evolve.",leave,v1,GLOBAL,medium,"casual, leave, utilization"
P021,Sick Leave Conversion to Loss of Pay,"This section describes the rules and practices related to sick leave conversion to loss of pay for employees of the Company. The intent is to provide clarity, predictability, and fairness in how time-off is used. Where this policy conflicts with statutory requirements, the statutory requirement will prevail. Managers should apply this rule consistently across their teams to avoid perceived bias. Failure to follow this rule may result in the leave being treated as Loss of Pay. Leave balances and related transactions will be visible in the Leave Management System (LMS).",leave,v1,GLOBAL,medium,"sick, leave, conversion, to, loss, of, pay"
