airline_sentiment,clean_text
positive,thanks response flight flight
neutral,know schedule dec released
negative,dont trivialize joke slow day slow experience
neutral,finally just arrive bogota good long flight
neutral,hope offer
positive,thanks quick response fingers crossed plane gets
neutral,flights dallas tuesday going cancelled flightled correct
negative,flight hour weather delay minute delay getting bags tired passengers
positive,got gate thanks checking
positive,fantastic thanks try tweet photo view
negative,group people actually hates people isis thats right united airlines
neutral,hi question future flight booking problems dubjac jaclax laxdub im g checked bag allowance jaclax
neutral,disabled seat row board earlier
positive,thanks explaining
negative,asked lindsey instead dm like schoolgirl far getting tired typing little notes
neutral,booked flights morning wait country
negative,free baggage mess
negative,access website safari iphone work mac ipad need iphone add passbook
neutral,hi flying iad tomorrow evening expect delays cancelled flightlations snow storm
positive,thanks helping reflight booking problems cancelled flightedflight yvonne anthony help tel aviv time happyfriday
neutral,jj
neutral,flight nsw departs enroute indianapolis international airport
neutral,did start sell water
neutral,ive trying change frm aa lax monday morning aa lax fat flight aa helpaa
negative,flight iad lax sat hrs ground crew drive snow badmgmt americanairlines
positive,tiks destinationdragons omg id love plz im dying
negative,eventually given flight memphis taken original flight bc checked father
neutral,outline policies scenarios
negative,diverged burlington vermont sucks
negative,helpful flight cancelled flightled reflight booking problems aa email cell notifications
neutral,email adress send ceo mr doug parker letter hopefully reads
neutral,yes
neutral,going flying nashville deicer short planes tomorrow morning
neutral,rt fleets fleek
neutral,ive filed claim way calling updates way
negative,worst view athlete watching team seat chase van nogearnotraining
negative,flight cancelled flightled hold hrs reschedule need help taking way long
neutral,whens deal going happen poor college student trying fly orlando instead drive august lol
negative,people line stupid heck
neutral,web site requesting refund cancelled flightled flight requires numerical document number
negative,rebooked tuesday arriving late flight tuesday start class cancelled flightled trip
positive,love air travel doesnt easier
negative,hours phonehung onall want different flight day open seat greatservice
negative,did question does say progress days
positive,love admiral clubs thanks hey follow
positive,gettin fancy mint lieflat nice work menu lobstermac bloodymary jetsetter
positive,love flying southwest best flight attendants
neutral,love destinationdragons tomorrow utah ive trying hard
neutral,ethiopia adopting child need flight home add grr late flight early need change existing reservation
neutral,guess thats ask huh
negative,recent services bad nc trip aweful disappointed
positive,thanks excellent response time assistance set
neutral,just sent dm w additonal info
neutral,received confirmation email confirmed ticketed flight
neutral,ok tx tell guy sitting gate
negative,friend hold hours counting
positive,happy purchase upgrade avail flight
negative,flight phl austin cancelled flighted headed houston delayed pay rent car drive hrs austin
neutral,thanks getting called number earlier option leave vm just rings busy tone
negative,logan boarding gong lax carry enforcement bins coats room bags u need better
neutral,left
negative,kill seconds bad muzak instead constant commercials hold
positive,thank
positive,thanks
neutral,happy sfo hopefully youll add pdx soon added new destinations fll sfo las vegas year
negative,doubt gate x cluster agent encounter saw including outright rude just
neutral,considering past midnight hung called receive service
negative,need help hung twice customer service rep said way help gate rep phone rep
neutral,law policy
