feedback_id,customer_id,product_id,region,customer_age,customer_gender,product_category,product_price,rating,feedback_text,sentiment
1,CUST1001,PROD501,East,39,Male,Beauty,264.8,2,Meets expectations,Neutral
2,CUST1002,PROD502,West,59,Male,Clothing,2539.85,1,Poor quality product,Negative
3,CUST1003,PROD503,South,23,Female,Home Appliances,2640.85,3,Average experience,Neutral
4,CUST1004,PROD504,Central,50,Male,Beauty,1560.16,2,Decent quality for the price,Neutral
5,CUST1005,PROD505,South,65,Female,Home Appliances,1277.85,1,Bad experience overall,Negative
6,CUST1006,PROD506,Central,27,Male,Clothing,943.37,1,Stopped working quickly,Negative
7,CUST1007,PROD507,East,61,Male,Sports,1507.68,4,"Excellent product, very satisfied",Positive
8,CUST1008,PROD508,East,54,Female,Clothing,996.82,4,Loved the quality and performance,Positive
9,CUST1009,PROD509,Central,65,Male,Home Appliances,3811.23,4,Very happy with this purchase,Positive
10,CUST1010,PROD510,West,64,Male,Electronics,643.84,5,Great value for money,Positive
11,CUST1011,PROD511,East,20,Female,Clothing,4808.09,5,Very happy with this purchase,Positive
12,CUST1012,PROD512,Central,31,Male,Electronics,2420.38,4,"Excellent product, very satisfied",Positive
13,CUST1013,PROD513,East,18,Male,Home Appliances,2602.21,3,Average experience,Neutral
14,CUST1014,PROD514,Central,34,Other,Clothing,2381.84,5,Great value for money,Positive
15,CUST1015,PROD515,East,36,Female,Sports,2570.47,4,Loved the quality and performance,Positive
16,CUST1016,PROD516,North,40,Male,Sports,3232.51,4,Great value for money,Positive
17,CUST1017,PROD517,West,26,Other,Books,2531.71,5,Highly recommend this product,Positive
18,CUST1018,PROD518,Central,28,Female,Home Appliances,4101.45,1,Not worth the money,Negative
19,CUST1019,PROD519,Central,43,Male,Books,1905.32,5,Very happy with this purchase,Positive
20,CUST1020,PROD520,East,35,Other,Beauty,1106.27,2,Poor quality product,Negative
21,CUST1021,PROD521,Central,57,Male,Clothing,2256.51,1,Not worth the money,Negative
22,CUST1022,PROD522,East,54,Female,Books,4344.27,2,Very disappointed,Negative
23,CUST1023,PROD523,North,57,Female,Home Appliances,4983.96,2,Decent quality for the price,Neutral
