incident_id,incident_date,incident_time,description,channel
INC001,01-03-26,8:15,Baggage not found at arrival belt,Airport Desk
INC002,01-03-26,9:10,Baggage delayed by 6 hours,Mobile App
INC003,01-03-26,10:30,Suitcase wheel broken,Airport Desk
INC004,02-03-26,11:45,Received another passenger bag,Airport Desk
INC005,02-03-26,13:20,Charged extra for baggage weight,Call Center
INC006,02-03-26,15:10,Items missing from baggage,Airport Desk
INC007,03-03-26,7:50,Baggage not arrived with flight,Mobile App
INC008,03-03-26,9:30,Baggage lost during transit,Airport Desk
INC009,03-03-26,12:10,Broken luggage handle,Airport Desk
INC010,04-03-26,14:25,Unexpected baggage fees,Mobile App
INC011,04-03-26,16:40,Baggage arrived late,Airport Desk
INC012,05-03-26,18:20,Baggage missing at destination,Call Center
INC013,05-03-26,20:00,Bag exchanged with another passenger,Airport Desk
INC014,06-03-26,6:30,Missing valuables from bag,Airport Desk
INC015,06-03-26,8:45,Baggage delayed overnight,Mobile App
INC016,01-03-26,7:20,QR not scanning at gate,Airport Desk
INC017,01-03-26,8:50,Name mismatch on boarding pass,Call Center
INC018,02-03-26,10:10,Wrong seat assigned,Mobile App
INC019,02-03-26,11:55,Duplicate boarding pass generated,Mobile App
INC020,03-03-26,13:15,Boarding pass not generated,Airport Desk
INC021,03-03-26,15:30,QR error at boarding,Airport Desk
INC022,04-03-26,17:00,Seat double booked,Airport Desk
INC023,04-03-26,18:45,Incorrect spelling on pass,Call Center
INC024,05-03-26,20:10,Pass not visible in app,Mobile App
INC025,05-03-26,21:30,Duplicate entry error,Mobile App
INC026,06-03-26,6:50,Scanner failure,Airport Desk
INC027,06-03-26,8:30,Seat not assigned,Airport Desk
INC028,01-03-26,6:40,Unable to check-in online,Mobile App
INC029,01-03-26,8:00,Seat selection not working,Mobile App
INC030,02-03-26,9:30,Kiosk not responding,Airport Desk
INC031,02-03-26,12:15,Reached after check-in closed,Airport Desk
INC032,03-03-26,14:00,System error during check-in,Mobile App
INC033,03-03-26,16:25,Unable to change seat,Mobile App
INC034,04-03-26,18:10,Kiosk screen frozen,Airport Desk
INC035,04-03-26,19:45,Missed check-in deadline,Call Center
INC036,05-03-26,21:10,App crash during check-in,Mobile App
INC037,06-03-26,7:15,Seat unavailable,Mobile App
INC038,06-03-26,9:00,Kiosk printer not working,Airport Desk
INC039,01-03-26,7:00,ID not accepted at check-in,Airport Desk
INC040,01-03-26,9:20,ID name mismatch,Call Center
INC041,02-03-26,11:00,Passenger ID expired,Airport Desk
INC042,02-03-26,13:30,Passenger forgot ID,Airport Desk
INC043,03-03-26,15:45,Unsupported ID type,Airport Desk
INC044,04-03-26,17:20,Expired passport,Airport Desk
INC045,05-03-26,19:00,Spelling mismatch in ID,Call Center
INC046,06-03-26,8:10,Lost ID before boarding,Airport Desk
